product_name,total_revenue,total_quantity
slipper,2370580.22,0.0
sofa,2370580.22,0.0
Christmas ornament,2151858.02,0.0
oslo paper,2151858.02,0.0
safety pin,1573980.96,0.0
fishing hook,1573980.96,0.0
Scrambled egg sandwiches with onions and red peppers,1184589.65,0.0
pair of scissors,1178561.46,0.0
Purple cow,1178561.46,0.0
Blueberry banana happy face pancakes,1137459.76,0.0
pair of binoculars,1137459.76,0.0
tooth pick,1074154.32,0.0
table,1040103.38,0.0
Delicious cheesy bacon and green onion potato skins,1009418.86,0.0
chocolate,1009418.86,0.0
washing machine,935295.5700000001,0.0
laptop,914395.05,0.0
mouse pad,881235.8300000001,0.0
blouse,831937.14,0.0
baseball,826846.14,0.0
screwdriver,819638.78,0.0
bow tie,796950.43,0.0
orca plushie,540827.5,0.0
television set,540405.48,0.0
whale toy,539184.14,0.0
book of jokes,537828.63,0.0
desk light,536144.56,0.0
shark toy,535534.46,0.0
rhino plushie,533042.5,0.0
toy top,529679.47,0.0
wireless control,529050.0,0.0
handheld game system,528245.52,0.0
toy car,527447.53,0.0
statuette,527201.23,0.0
camera,526437.48,0.0
painting,525996.45,0.0
few batteries,525755.41,0.0
harry potter,525726.01,0.0
ipod,524818.88,0.0
printer,524210.38,0.0
pocketwatch,524178.64,0.0
glass mirror,523930.96,0.0
squirt gun,522745.23000000004,0.0
gaming gards,522607.19,0.0
microphone,522012.28,0.0
clock,521949.25,0.0
game CD,521380.95,0.0
extension cord,521374.92,0.0
coloring book,521316.62,0.0
airconditioner,520986.08,0.0
dehumidifier,520730.67,0.0
game cartridge,520357.55,0.0
drawer,519920.53,0.0
plush bear,519812.98000000004,0.0
air fryer,519738.28,0.0
toy boat,519179.15,0.0
blackberry phone,518758.10000000003,0.0
Original praline bacon recipe,518686.10000000003,0.0
closet,517885.87,0.0
large door,517582.49,0.0
toilet,517578.56,0.0
magazine,517493.65,0.0
monitor,517339.67,0.0
CD,516578.15,0.0
key,516439.46,0.0
plush unicorn,515770.41000000003,0.0
dolphin toy,515765.45,0.0
plush dinosaur,515695.19,0.0
remote,515380.42,0.0
window,515036.65,0.0
novel,514647.05,0.0
computer,514362.49,0.0
plush rabbit,513962.3,0.0
desk drawer,513903.38,0.0
lamp shade,513818.46,0.0
mp3 player,513325.53,0.0
giraffe toy,513281.35000000003,0.0
jigsaw puzzle,513036.34,0.0
rubber duck,512819.09,0.0
domino set,512734.22000000003,0.0
video games,512460.42,0.0
toy plane,512410.74,0.0
cabinet,512320.61,0.0
plush frog,512002.3,0.0
toy soldier,511672.71,0.0
clay pot,511474.03,0.0
watch,511289.83,0.0
vodafone mobile phone,511172.33,0.0
couch,510764.31,0.0
fridge,510725.09,0.0
vase,510370.98000000004,0.0
smart television,510154.53,0.0
bed,509949.39,0.0
ipod charger,509053.49,0.0
panda plushie,509020.56,0.0
hard drive,508896.65,0.0
door,508562.96,0.0
lamp,508419.43,0.0
computer chair,508151.34,0.0
standing desk,508064.9,0.0
mobile phone,507853.64,0.0
sofa bed,507543.31,0.0
light bulb,507531.19,0.0
rubber cows,507255.74,0.0
video recorder,507186.71,0.0
floor,506631.76,0.0
desk,506529.51,0.0
speakers,506390.38,0.0
laser pointer,505319.54000000004,0.0
tower holder,505270.01,0.0
door knob,504937.46,0.0
cellphone,504765.11,0.0
samsung tablet,504641.76,0.0
